epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,31.3788,0.2813,0.98299,1,0.05615,0.00054928,0.00054928,0.00054928
2,47.8953,0.13494,0.98639,1,0.07614,0.00105025,0.00105025,0.00105025
3,64.7009,0.13143,0.97619,1,0.12003,0.00149621,0.00149621,0.00149621
4,80.9542,0.13134,0.98299,1,0.05885,0.00141945,0.00141945,0.00141945
5,97.6415,0.12941,0.9898,1,0.03322,0.00133693,0.00133693,0.00133693
6,114.276,0.0985,0.9898,1,0.0325,0.00125442,0.00125442,0.00125442
7,131.573,0.06194,0.96939,1,0.07376,0.0011719,0.0011719,0.0011719
8,148.157,0.05475,0.9898,1,0.02415,0.00108938,0.00108938,0.00108938
9,164.362,0.12735,0.9898,1,0.04067,0.00100687,0.00100687,0.00100687
10,180.652,0.08149,0.96599,1,0.08652,0.000924352,0.000924352,0.000924352
